survey_kind,survey_group,survey_display_name,description,output_filename,step_key,step_order
scouting,RepoScoutingSurvey,Scouting Survey,"Everything Scouting does, in one run: refresh git statistics and the file inventory, then score health, language shape, file classification and structure, data-file profiles and the project's external website. The union of Git Statistics Survey and Coarse Profile Survey, which remain available separately for the narrower/faster cases. Scouting-tier by construction — every step here belongs to Scouting, unlike the automate_full bundle which runs all 20 steps including Assessment- and Analysis-tier ones.",repo-survey-definition-scouting-all.md,repo_git_statistics,1
scouting,RepoScoutingSurvey,Scouting Survey,"Everything Scouting does, in one run: refresh git statistics and the file inventory, then score health, language shape, file classification and structure, data-file profiles and the project's external website. The union of Git Statistics Survey and Coarse Profile Survey, which remain available separately for the narrower/faster cases. Scouting-tier by construction — every step here belongs to Scouting, unlike the automate_full bundle which runs all 20 steps including Assessment- and Analysis-tier ones.",repo-survey-definition-scouting-all.md,repo_file_inventory,2
scouting,RepoScoutingSurvey,Scouting Survey,"Everything Scouting does, in one run: refresh git statistics and the file inventory, then score health, language shape, file classification and structure, data-file profiles and the project's external website. The union of Git Statistics Survey and Coarse Profile Survey, which remain available separately for the narrower/faster cases. Scouting-tier by construction — every step here belongs to Scouting, unlike the automate_full bundle which runs all 20 steps including Assessment- and Analysis-tier ones.",repo-survey-definition-scouting-all.md,repo_manifest_parse,3
scouting,RepoScoutingSurvey,Scouting Survey,"Everything Scouting does, in one run: refresh git statistics and the file inventory, then score health, language shape, file classification and structure, data-file profiles and the project's external website. The union of Git Statistics Survey and Coarse Profile Survey, which remain available separately for the narrower/faster cases. Scouting-tier by construction — every step here belongs to Scouting, unlike the automate_full bundle which runs all 20 steps including Assessment- and Analysis-tier ones.",repo-survey-definition-scouting-all.md,repo_health,4
scouting,RepoScoutingSurvey,Scouting Survey,"Everything Scouting does, in one run: refresh git statistics and the file inventory, then score health, language shape, file classification and structure, data-file profiles and the project's external website. The union of Git Statistics Survey and Coarse Profile Survey, which remain available separately for the narrower/faster cases. Scouting-tier by construction — every step here belongs to Scouting, unlike the automate_full bundle which runs all 20 steps including Assessment- and Analysis-tier ones.",repo-survey-definition-scouting-all.md,repo_language,5
scouting,RepoScoutingSurvey,Scouting Survey,"Everything Scouting does, in one run: refresh git statistics and the file inventory, then score health, language shape, file classification and structure, data-file profiles and the project's external website. The union of Git Statistics Survey and Coarse Profile Survey, which remain available separately for the narrower/faster cases. Scouting-tier by construction — every step here belongs to Scouting, unlike the automate_full bundle which runs all 20 steps including Assessment- and Analysis-tier ones.",repo-survey-definition-scouting-all.md,repo_file_classification,6
scouting,RepoScoutingSurvey,Scouting Survey,"Everything Scouting does, in one run: refresh git statistics and the file inventory, then score health, language shape, file classification and structure, data-file profiles and the project's external website. The union of Git Statistics Survey and Coarse Profile Survey, which remain available separately for the narrower/faster cases. Scouting-tier by construction — every step here belongs to Scouting, unlike the automate_full bundle which runs all 20 steps including Assessment- and Analysis-tier ones.",repo-survey-definition-scouting-all.md,repo_file_structure,7
scouting,RepoScoutingSurvey,Scouting Survey,"Everything Scouting does, in one run: refresh git statistics and the file inventory, then score health, language shape, file classification and structure, data-file profiles and the project's external website. The union of Git Statistics Survey and Coarse Profile Survey, which remain available separately for the narrower/faster cases. Scouting-tier by construction — every step here belongs to Scouting, unlike the automate_full bundle which runs all 20 steps including Assessment- and Analysis-tier ones.",repo-survey-definition-scouting-all.md,repo_data_profiling,8
scouting,RepoScoutingSurvey,Scouting Survey,"Everything Scouting does, in one run: refresh git statistics and the file inventory, then score health, language shape, file classification and structure, data-file profiles and the project's external website. The union of Git Statistics Survey and Coarse Profile Survey, which remain available separately for the narrower/faster cases. Scouting-tier by construction — every step here belongs to Scouting, unlike the automate_full bundle which runs all 20 steps including Assessment- and Analysis-tier ones.",repo-survey-definition-scouting-all.md,repo_homepage,9
discovery,RepoDiscoverySurvey,Repo Discovery Survey,"Early-headlights signals for deciding whether to pursue this repo further — from data already collected by Scouting/Profile, zero new fetch. Grown by Part 2 (docs/discovery-automate-project-context-plan.md) with maturity/lifecycle-stage and repo-convention signals (security policy, build automation, deployment/Docker evidence, catalog self-description, documentation breadth).",repo-survey-definition-discovery.md,repo_classification,1
discovery,RepoDiscoverySurvey,Repo Discovery Survey,"Early-headlights signals for deciding whether to pursue this repo further — from data already collected by Scouting/Profile, zero new fetch. Grown by Part 2 (docs/discovery-automate-project-context-plan.md) with maturity/lifecycle-stage and repo-convention signals (security policy, build automation, deployment/Docker evidence, catalog self-description, documentation breadth).",repo-survey-definition-discovery.md,repo_license_classification,2
discovery,RepoDiscoverySurvey,Repo Discovery Survey,"Early-headlights signals for deciding whether to pursue this repo further — from data already collected by Scouting/Profile, zero new fetch. Grown by Part 2 (docs/discovery-automate-project-context-plan.md) with maturity/lifecycle-stage and repo-convention signals (security policy, build automation, deployment/Docker evidence, catalog self-description, documentation breadth).",repo-survey-definition-discovery.md,repo_maturity,3
discovery,RepoDiscoverySurvey,Repo Discovery Survey,"Early-headlights signals for deciding whether to pursue this repo further — from data already collected by Scouting/Profile, zero new fetch. Grown by Part 2 (docs/discovery-automate-project-context-plan.md) with maturity/lifecycle-stage and repo-convention signals (security policy, build automation, deployment/Docker evidence, catalog self-description, documentation breadth).",repo-survey-definition-discovery.md,repo_conventions,4
discovery,RepoArchitectureDiscovery,Repo Architecture Discovery,"Candidate component partition — package manifests, deployment units, ast-grep code markers, and import/co-change coupling (docs/architecture-recovery-phase1-plan.md) — proposed at every depth it finds and stored as a hierarchy, not one chosen level (approach-portfolio-model.md §2a), so 'which subsystem is this?' is answerable from a coarse projection without discarding the finer reading underneath. A SEPARATE survey_group from Repo Discovery Survey, deliberately: unlike every other discovery-tier analysis, both steps here DO fetch (repo_arch_detect needs a zipball, repo_arch_coupling also needs a git clone for co-change history) — bundling them into the zero-new-fetch survey above would make its own description false. Comfortably sufficient for subsystem identification; marginal for component-scoped metrics; not yet a publishable blueprint.",repo-survey-definition-architecture-discovery.md,repo_arch_detect,1
discovery,RepoArchitectureDiscovery,Repo Architecture Discovery,"Candidate component partition — package manifests, deployment units, ast-grep code markers, and import/co-change coupling (docs/architecture-recovery-phase1-plan.md) — proposed at every depth it finds and stored as a hierarchy, not one chosen level (approach-portfolio-model.md §2a), so 'which subsystem is this?' is answerable from a coarse projection without discarding the finer reading underneath. A SEPARATE survey_group from Repo Discovery Survey, deliberately: unlike every other discovery-tier analysis, both steps here DO fetch (repo_arch_detect needs a zipball, repo_arch_coupling also needs a git clone for co-change history) — bundling them into the zero-new-fetch survey above would make its own description false. Comfortably sufficient for subsystem identification; marginal for component-scoped metrics; not yet a publishable blueprint.",repo-survey-definition-architecture-discovery.md,repo_arch_coupling,2
automate_full,RepoFullSurvey,Full Survey (all steps),"Every current Resource Explorer repo analysis step, chained into one Survey Definition — the comprehensive bundle for an already-tracked repo, not Discovery's launch target. Regenerated by scripts/generate_repo_survey_definition.py from repo_survey_definition_adapter.py's STEP_REGISTRY, the single source of truth for what RE can actually run against a Git repository. Named 'Full Survey (all steps)' — deliberately NOT 'Scouting - ...', which it was briefly called: this is an automate_full bundle, and the Scouting prefix made it read as a Scouting-tier survey, which is how running it from Scouting came to deposit Assessment-tier results that rendered as Scouting Results cards. Scouting's own run-everything option is 'Scouting Survey'. qualified_name has never changed across either rename, so both were in-place updates of the same element. Scales poorly by construction: as repo survey steps grow into the dozens, some of them expensive, 'run every step' stops being a sensible default and this becomes a deliberate, scheduled choice rather than a convenient one.",repo-survey-definition-full.md,*,1
assessment,RepoAssessmentSurvey,Assessment Survey,"Everything Assessment evaluates: documentation coverage, security-policy hygiene, GitHub's native security-feature toggles and CI quality. Prefixed by the two prerequisite refresh steps — every step here reads project_stats and documentation also reads project_file_inventory, and neither table is written by an assessment-tier step, so without them the run scores whatever an earlier, unrelated survey left behind. Cheap apart from those prerequisites: the four evaluative steps are all zero-fetch/low-compute, so the survey's cost is almost entirely repo_git_statistics (api_heavy) and repo_file_inventory (download). Run with max_fetch_cost='none' to score against stored data instead.",repo-survey-definition-assessment.md,repo_git_statistics,1
assessment,RepoAssessmentSurvey,Assessment Survey,"Everything Assessment evaluates: documentation coverage, security-policy hygiene, GitHub's native security-feature toggles and CI quality. Prefixed by the two prerequisite refresh steps — every step here reads project_stats and documentation also reads project_file_inventory, and neither table is written by an assessment-tier step, so without them the run scores whatever an earlier, unrelated survey left behind. Cheap apart from those prerequisites: the four evaluative steps are all zero-fetch/low-compute, so the survey's cost is almost entirely repo_git_statistics (api_heavy) and repo_file_inventory (download). Run with max_fetch_cost='none' to score against stored data instead.",repo-survey-definition-assessment.md,repo_file_inventory,2
assessment,RepoAssessmentSurvey,Assessment Survey,"Everything Assessment evaluates: documentation coverage, security-policy hygiene, GitHub's native security-feature toggles and CI quality. Prefixed by the two prerequisite refresh steps — every step here reads project_stats and documentation also reads project_file_inventory, and neither table is written by an assessment-tier step, so without them the run scores whatever an earlier, unrelated survey left behind. Cheap apart from those prerequisites: the four evaluative steps are all zero-fetch/low-compute, so the survey's cost is almost entirely repo_git_statistics (api_heavy) and repo_file_inventory (download). Run with max_fetch_cost='none' to score against stored data instead.",repo-survey-definition-assessment.md,repo_documentation,3
assessment,RepoAssessmentSurvey,Assessment Survey,"Everything Assessment evaluates: documentation coverage, security-policy hygiene, GitHub's native security-feature toggles and CI quality. Prefixed by the two prerequisite refresh steps — every step here reads project_stats and documentation also reads project_file_inventory, and neither table is written by an assessment-tier step, so without them the run scores whatever an earlier, unrelated survey left behind. Cheap apart from those prerequisites: the four evaluative steps are all zero-fetch/low-compute, so the survey's cost is almost entirely repo_git_statistics (api_heavy) and repo_file_inventory (download). Run with max_fetch_cost='none' to score against stored data instead.",repo-survey-definition-assessment.md,repo_security,4
assessment,RepoAssessmentSurvey,Assessment Survey,"Everything Assessment evaluates: documentation coverage, security-policy hygiene, GitHub's native security-feature toggles and CI quality. Prefixed by the two prerequisite refresh steps — every step here reads project_stats and documentation also reads project_file_inventory, and neither table is written by an assessment-tier step, so without them the run scores whatever an earlier, unrelated survey left behind. Cheap apart from those prerequisites: the four evaluative steps are all zero-fetch/low-compute, so the survey's cost is almost entirely repo_git_statistics (api_heavy) and repo_file_inventory (download). Run with max_fetch_cost='none' to score against stored data instead.",repo-survey-definition-assessment.md,repo_security_features,5
assessment,RepoAssessmentSurvey,Assessment Survey,"Everything Assessment evaluates: documentation coverage, security-policy hygiene, GitHub's native security-feature toggles and CI quality. Prefixed by the two prerequisite refresh steps — every step here reads project_stats and documentation also reads project_file_inventory, and neither table is written by an assessment-tier step, so without them the run scores whatever an earlier, unrelated survey left behind. Cheap apart from those prerequisites: the four evaluative steps are all zero-fetch/low-compute, so the survey's cost is almost entirely repo_git_statistics (api_heavy) and repo_file_inventory (download). Run with max_fetch_cost='none' to score against stored data instead.",repo-survey-definition-assessment.md,repo_ci_quality,6
analysis,RepoAnalysisSurvey,Analysis Survey,"Everything Analysis extracts: dependencies, API/symbol structure, data-file profiles, sub-resource recommendations, and the two ingestion passes Chat and Understanding query — the repository's own source, and the project's documentation site. Prefixed by three prerequisite refresh steps: repo_git_statistics and repo_file_inventory for the same reason Assessment Survey needs them, plus repo_homepage, which is the only step that writes projects.homepage_url — without it repo_website_ingestion would ingest whatever site an earlier, unrelated run happened to derive, or none at all. This is deliberately the expensive tier: repo_rag_ingestion is compute_cost=high, repo_website_ingestion, repo_data_profiling and repo_symbol_extraction are medium, and the two ingestion steps both fetch. Because the cost filter exists, that is not binding — run with max_compute_cost='medium' for a structural pass that skips re-embedding, or max_fetch_cost='api' to skip both ingests.",repo-survey-definition-analysis.md,repo_git_statistics,1
analysis,RepoAnalysisSurvey,Analysis Survey,"Everything Analysis extracts: dependencies, API/symbol structure, data-file profiles, sub-resource recommendations, and the two ingestion passes Chat and Understanding query — the repository's own source, and the project's documentation site. Prefixed by three prerequisite refresh steps: repo_git_statistics and repo_file_inventory for the same reason Assessment Survey needs them, plus repo_homepage, which is the only step that writes projects.homepage_url — without it repo_website_ingestion would ingest whatever site an earlier, unrelated run happened to derive, or none at all. This is deliberately the expensive tier: repo_rag_ingestion is compute_cost=high, repo_website_ingestion, repo_data_profiling and repo_symbol_extraction are medium, and the two ingestion steps both fetch. Because the cost filter exists, that is not binding — run with max_compute_cost='medium' for a structural pass that skips re-embedding, or max_fetch_cost='api' to skip both ingests.",repo-survey-definition-analysis.md,repo_file_inventory,2
analysis,RepoAnalysisSurvey,Analysis Survey,"Everything Analysis extracts: dependencies, API/symbol structure, data-file profiles, sub-resource recommendations, and the two ingestion passes Chat and Understanding query — the repository's own source, and the project's documentation site. Prefixed by three prerequisite refresh steps: repo_git_statistics and repo_file_inventory for the same reason Assessment Survey needs them, plus repo_homepage, which is the only step that writes projects.homepage_url — without it repo_website_ingestion would ingest whatever site an earlier, unrelated run happened to derive, or none at all. This is deliberately the expensive tier: repo_rag_ingestion is compute_cost=high, repo_website_ingestion, repo_data_profiling and repo_symbol_extraction are medium, and the two ingestion steps both fetch. Because the cost filter exists, that is not binding — run with max_compute_cost='medium' for a structural pass that skips re-embedding, or max_fetch_cost='api' to skip both ingests.",repo-survey-definition-analysis.md,repo_homepage,3
analysis,RepoAnalysisSurvey,Analysis Survey,"Everything Analysis extracts: dependencies, API/symbol structure, data-file profiles, sub-resource recommendations, and the two ingestion passes Chat and Understanding query — the repository's own source, and the project's documentation site. Prefixed by three prerequisite refresh steps: repo_git_statistics and repo_file_inventory for the same reason Assessment Survey needs them, plus repo_homepage, which is the only step that writes projects.homepage_url — without it repo_website_ingestion would ingest whatever site an earlier, unrelated run happened to derive, or none at all. This is deliberately the expensive tier: repo_rag_ingestion is compute_cost=high, repo_website_ingestion, repo_data_profiling and repo_symbol_extraction are medium, and the two ingestion steps both fetch. Because the cost filter exists, that is not binding — run with max_compute_cost='medium' for a structural pass that skips re-embedding, or max_fetch_cost='api' to skip both ingests.",repo-survey-definition-analysis.md,repo_dependency,4
analysis,RepoAnalysisSurvey,Analysis Survey,"Everything Analysis extracts: dependencies, API/symbol structure, data-file profiles, sub-resource recommendations, and the two ingestion passes Chat and Understanding query — the repository's own source, and the project's documentation site. Prefixed by three prerequisite refresh steps: repo_git_statistics and repo_file_inventory for the same reason Assessment Survey needs them, plus repo_homepage, which is the only step that writes projects.homepage_url — without it repo_website_ingestion would ingest whatever site an earlier, unrelated run happened to derive, or none at all. This is deliberately the expensive tier: repo_rag_ingestion is compute_cost=high, repo_website_ingestion, repo_data_profiling and repo_symbol_extraction are medium, and the two ingestion steps both fetch. Because the cost filter exists, that is not binding — run with max_compute_cost='medium' for a structural pass that skips re-embedding, or max_fetch_cost='api' to skip both ingests.",repo-survey-definition-analysis.md,repo_api_structure,5
analysis,RepoAnalysisSurvey,Analysis Survey,"Everything Analysis extracts: dependencies, API/symbol structure, data-file profiles, sub-resource recommendations, and the two ingestion passes Chat and Understanding query — the repository's own source, and the project's documentation site. Prefixed by three prerequisite refresh steps: repo_git_statistics and repo_file_inventory for the same reason Assessment Survey needs them, plus repo_homepage, which is the only step that writes projects.homepage_url — without it repo_website_ingestion would ingest whatever site an earlier, unrelated run happened to derive, or none at all. This is deliberately the expensive tier: repo_rag_ingestion is compute_cost=high, repo_website_ingestion, repo_data_profiling and repo_symbol_extraction are medium, and the two ingestion steps both fetch. Because the cost filter exists, that is not binding — run with max_compute_cost='medium' for a structural pass that skips re-embedding, or max_fetch_cost='api' to skip both ingests.",repo-survey-definition-analysis.md,repo_data_profiling,6
analysis,RepoAnalysisSurvey,Analysis Survey,"Everything Analysis extracts: dependencies, API/symbol structure, data-file profiles, sub-resource recommendations, and the two ingestion passes Chat and Understanding query — the repository's own source, and the project's documentation site. Prefixed by three prerequisite refresh steps: repo_git_statistics and repo_file_inventory for the same reason Assessment Survey needs them, plus repo_homepage, which is the only step that writes projects.homepage_url — without it repo_website_ingestion would ingest whatever site an earlier, unrelated run happened to derive, or none at all. This is deliberately the expensive tier: repo_rag_ingestion is compute_cost=high, repo_website_ingestion, repo_data_profiling and repo_symbol_extraction are medium, and the two ingestion steps both fetch. Because the cost filter exists, that is not binding — run with max_compute_cost='medium' for a structural pass that skips re-embedding, or max_fetch_cost='api' to skip both ingests.",repo-survey-definition-analysis.md,repo_symbol_extraction,7
analysis,RepoAnalysisSurvey,Analysis Survey,"Everything Analysis extracts: dependencies, API/symbol structure, data-file profiles, sub-resource recommendations, and the two ingestion passes Chat and Understanding query — the repository's own source, and the project's documentation site. Prefixed by three prerequisite refresh steps: repo_git_statistics and repo_file_inventory for the same reason Assessment Survey needs them, plus repo_homepage, which is the only step that writes projects.homepage_url — without it repo_website_ingestion would ingest whatever site an earlier, unrelated run happened to derive, or none at all. This is deliberately the expensive tier: repo_rag_ingestion is compute_cost=high, repo_website_ingestion, repo_data_profiling and repo_symbol_extraction are medium, and the two ingestion steps both fetch. Because the cost filter exists, that is not binding — run with max_compute_cost='medium' for a structural pass that skips re-embedding, or max_fetch_cost='api' to skip both ingests.",repo-survey-definition-analysis.md,repo_sub_resource_survey,8
analysis,RepoAnalysisSurvey,Analysis Survey,"Everything Analysis extracts: dependencies, API/symbol structure, data-file profiles, sub-resource recommendations, and the two ingestion passes Chat and Understanding query — the repository's own source, and the project's documentation site. Prefixed by three prerequisite refresh steps: repo_git_statistics and repo_file_inventory for the same reason Assessment Survey needs them, plus repo_homepage, which is the only step that writes projects.homepage_url — without it repo_website_ingestion would ingest whatever site an earlier, unrelated run happened to derive, or none at all. This is deliberately the expensive tier: repo_rag_ingestion is compute_cost=high, repo_website_ingestion, repo_data_profiling and repo_symbol_extraction are medium, and the two ingestion steps both fetch. Because the cost filter exists, that is not binding — run with max_compute_cost='medium' for a structural pass that skips re-embedding, or max_fetch_cost='api' to skip both ingests.",repo-survey-definition-analysis.md,repo_rag_ingestion,9
analysis,RepoAnalysisSurvey,Analysis Survey,"Everything Analysis extracts: dependencies, API/symbol structure, data-file profiles, sub-resource recommendations, and the two ingestion passes Chat and Understanding query — the repository's own source, and the project's documentation site. Prefixed by three prerequisite refresh steps: repo_git_statistics and repo_file_inventory for the same reason Assessment Survey needs them, plus repo_homepage, which is the only step that writes projects.homepage_url — without it repo_website_ingestion would ingest whatever site an earlier, unrelated run happened to derive, or none at all. This is deliberately the expensive tier: repo_rag_ingestion is compute_cost=high, repo_website_ingestion, repo_data_profiling and repo_symbol_extraction are medium, and the two ingestion steps both fetch. Because the cost filter exists, that is not binding — run with max_compute_cost='medium' for a structural pass that skips re-embedding, or max_fetch_cost='api' to skip both ingests.",repo-survey-definition-analysis.md,repo_website_ingestion,10
