Question,Asked At,Answered At,Why is this important?,Rationale/Source,Answering Analysis,Financial,Governance,Steward,Data Owner,Consumer,App/AI Builder,Privacy Officer,Community,Data Expert,Security,Architecture,Systems Administration
Are there any restrictions for use?,Scouting,Scouting,Is this appropriate?,"License field is cheaply available from the GitHub API — deeper copyleft-risk categorization is Assessment-tier (see the license-specifics row below).",N/A — direct field (GitHub license field),,,,,,,,,,X,X,X
What dependencies does this require?,Scouting,Analysis,Influences deployment cost and exposes additional transitive risks.,"DependencySurveyor exists (Analysis-tier) — dependency list per ecosystem.",dependency_analysis,,,,,X,,,,X,X,,X
Do we already support these dependencies?,Scouting,Enrichment,Reduces risk.,"Needs the org's own tech inventory — human-supplied cross-reference, not resource-derivable.",N/A — human-supplied via Enrichment Context form,,,,,,,,,,X,X,X
What deployment styles does this support?,Scouting,Analysis,Need to understand if we can deploy it?,"Needs content read (Dockerfile, deployment docs) — RAG-tier, real gap.",GAP: RAG content read (Dockerfile/deployment docs) — no structured surveyor,,,,,,,,,,X,X,X
Do we know what the cost to run it is?,Scouting,Enrichment,Cost is part of the decision process.,Human-supplied/derived — not resource-derivable.,N/A — human-supplied via Enrichment Context form,X,,,,,,,,,,,X
Is there a validation / deployment test for it?,Scouting,Assessment,How do we know if it is working properly once deployed?,"SecurityHygieneSurveyor already checks CI config presence — partial fit; a real deployment-test check is a gap.","PARTIAL: security_scan (CI config presence); GAP: real deployment-test check",,,,,,,,,,X,,X
What is the upgrade process?,Scouting,Analysis,Is it deployable and maintainable? Are upgrades disruptive?,"Needs content read (CHANGELOG, release notes) — RAG-tier, real gap.",GAP: RAG content read (CHANGELOG/release notes) — no structured surveyor,,,,,X,,,,X,,X,X
Does it fit into our monitoring infrastructure?,Scouting,Enrichment,"Cost, Skills and manageability.",Org-internal cross-reference — human-supplied.,N/A — human-supplied via Enrichment Context form,,,,X,X,,,,,,X,X
Does it fit into our security infrastructure?,Scouting,Enrichment,Will it be allowed in? What are the risks?,"Org-internal cross-reference, informed by Assessment's security findings.","N/A — human-supplied via Enrichment Context form, informed by security_scan findings",X,,,X,X,X,,,,X,X,X
Is there any reliability or availability aspects?,Scouting,Understanding,Is it production ready?,"Trend/uptime signal, if available — Understanding-tier chart, or Analysis if content-derived (SLA docs).","N/A — Understanding trend chart (stats.py, project_stats history); GAP if SLA-doc content read is needed instead",,,,,,,,,,X,X,X
What kinds of integrations does it support?,Scouting,Analysis,Can we connect it to our ecosystem?,"Needs content read (API docs, integration guides) — RAG-tier, real gap.",GAP: RAG content read (API docs/integration guides) — no structured surveyor,,,,,X,,,,X,X,X,X
Does this fit within or need to extend our existing infrastructure estate?,Scouting,Enrichment,Impact on existing architecture and operations.,Org-internal cross-reference — human-supplied.,N/A — human-supplied via Enrichment Context form,,,,,X,,,,,X,X,X
How mature is it?,Scouting,Understanding,Stability vs innovation trade-off.,"Age/release-cadence trend — chart-derivable from existing project_stats history.","N/A — Understanding trend chart (stats.py, project_stats history)",,,,,,,,X,X,,X,X
Do we have the skills to support its use?,Scouting,Enrichment,Operational readiness and skill gaps.,"Purely human-supplied — never resource-derivable.",N/A — human-supplied via Enrichment Context form,,,,,,,,,,X,X,X
How well documented is it?,Scouting,Assessment,Ease of adoption and maintenance.,"DocumentationSurveyor already exists (Assessment-tier) — README/CHANGELOG/CONTRIBUTING presence + quality label. Direct existing match.",documentation_coverage,,,,,X,,,X,X,,X,X
How is it supported?,Scouting,Analysis,Enterprise fallback and support options.,"Mixed: community responsiveness (Scouting-cheap) + documentation quality (Assessment) + any formal support docs (Analysis/RAG).","MIXED: repository_health (community responsiveness) + documentation_coverage; GAP: formal support-docs RAG read",X,,,,X,,,,X,,X,X
"Is there a current, published, security analysis?",Scouting,Analysis,Third-party audit and security posture.,"SecurityHygieneSurveyor covers SECURITY.md/CI/LICENSE presence (Assessment) — a real deep scan is Analysis-tier, real gap; candidate tools: OpenSSF Scorecard (automated repo health/security checks), CHAOSS GrimoireLab/Augur (Linux Foundation project-health tooling) for the community-responsiveness dimension.","PARTIAL: security_scan (hygiene presence); GAP: real deep scan (candidate: OpenSSF Scorecard, CHAOSS GrimoireLab/Augur)",,X,,,,,,,,X,X,X
Does it fit into our governance frameworks?,Scouting,Enrichment,Compliance and regulatory alignment.,"Org policy cross-reference (human-supplied), plus Curate's zone/catalog membership once published.","N/A — human-supplied via Enrichment Context form, plus Curate zone/catalog membership (egeria_publish)",,X,,,,,,,,X,X,X
"What explicit license does the repository use, and are there non-standard or copyleft terms?",Scouting,Assessment,"Identifies strict copyleft (GPL/AGPL), source-available shifts (BSL/SSPL), or dual-licensing risks before code integration.","GitHub API license field gives the SPDX id cheaply (Scouting); copyleft-risk categorization needs a license-classification step — candidate tools: FOSSology (Linux Foundation compliance workspace), LicenseFinder, ClearlyDefined (crowdsourced licensing/provenance data), Mend, Black Duck. SPDX (ISO/IEC 5962) is the standard schema these results should conform to.","GAP: license-classification/copyleft-risk step (candidate: FOSSology, LicenseFinder, ClearlyDefined, Mend, Black Duck; schema: SPDX); SPDX id itself is N/A — direct field",X,,,X,,X,,,,X,,
Is intellectual property (IP) provenance managed via CLA or DCO?,Scouting,Analysis,Protects the organization from copyright infringement claims from unauthorized third-party contributions.,"Needs content read (CONTRIBUTING.md, CLA-bot config) — RAG-tier, real gap.",GAP: RAG content read (CONTRIBUTING.md/CLA-bot config detection),,,,,,,,,,X,,
"Does the software contain telemetry, phone-home mechanisms, or external metrics tracking?",Scouting,Analysis,"Prevents unauthorized leakage of internal network metadata, system details, or usage patterns.","Needs code-content scan — real gap, no RE surveyor for this today.",GAP: code-content telemetry/phone-home scan,,,,,,,X,,,X,X,X
"For AI/ML assets, what licensing or usage constraints apply to models, weights, or datasets?",Scouting,Analysis,"Open-source software licenses (e.g., Apache 2.0) often differ from model weights (e.g., OpenRAIL, Llama) or training data constraints.","Needs model-card/dataset-file detection — real gap, AI Governance tooling category.",GAP: model-card/dataset-file detection (AI Governance tooling category),,X,,,,X,X,,X,,,
"How does the repository handle secrets, credentials, and sensitive configurations?",Scouting,Analysis,Prevents hardcoded secrets or unencrypted credential passing in containerized and automated deployment environments.,"Secret-scanning — real gap, no RE surveyor today; common OSPO/DevSecOps tool category.",GAP: secret-scanning (OSPO/DevSecOps tool category),,,,,,,,,,X,X,X
