Question,Funnel Stage,Why is this important?,Rationale/Source,Answering Analysis,Answering Mechanism,Resource Types,Level,Financial,Governance,Steward,Data Owner,Consumer,App/AI Builder,Privacy,Community,Data Expert,Security,Architecture,Admin,Purposes,Catalog History,Status
Under what licence or agreement may this resource be used?,Scouting,Is this appropriate?,License field is cheaply available from the GitHub API — deeper copyleft-risk categorization is Assessment-tier (see the license-specifics row below).,"N/A — direct field (GitHub license field) - Also Agent over RAG? Direct field (GitHub license field) for a standard license (e.g. Apache 2.0) — the answer for those is itself usually just ""citation/attribution required"". A non-standard license needs the actual license text interpreted, which is where Agent-Based Analysis comes in instead of a direct-field read.",Direct Field (standard license) + Agent-Based Analysis (non-standard license interpretation),*,resource,,,,,,,,,,X,X,X,Select;Certify,2026-09-21: reworded from repo-only to cross-type wording (multi-resource-questions-design.md §4) as part of the re/db-questions-csv authoring stream.,
What dependencies does this require?,Analysis,Influences deployment cost and exposes additional transitive risks.,"The declared dependency list, per ecosystem, from the manifests present.",dependency_analysis ,Code Analysis,repo,resource,,,,,X,,,,X,X,,X,Select;Assess;Deploy,Answered by DependencySurveyor (Analysis tier).,
Do we already support these dependencies?,Analysis/Enrichment,Reduces risk.,"Needs the org's own tech inventory — human-supplied cross-reference, not resource-derivable.","MIXED: dependency_support (machine starting point — each dependency name matched against a curated technology mapping in configdata/dependency_support.yaml, linked to Egeria's technology types; reports what each dependency INDICATES plus a ranked list of names nobody has classified yet) + human-supplied corroboration via the Enrichment Context form — whether a technology is supported remains a human judgement, and likely needs a per-dependency answer rather than one blanket answer for the whole question. May also become an Agent over RAG content.",Egeria Queries + Human-Supplied,repo,resource,,,,,,,,,,X,X,X,Select;Deploy,"2026-09-12: stage widened to Analysis/Enrichment — the answer is human-supplied via Enrichment (says so in Answering Analysis), but exact phase matching kept the row off the Enrichment pane, under a heading that promised the catalog's questions for a person. | 2026-09-12: answering became MIXED — dependency_support added as the machine starting point (project owner: 'A now, shaped to seed B'); the human corroboration stays.",
What deployment styles does this support?,Analysis,Need to understand if we can deploy it?,"Covers whether a Dockerfile, compose file or Helm chart is present. What the deployment instructions actually say is not read.",MIXED: repo_conventions (deployment_docker presence signal); GAP: RAG content read for deployment instructions [checks: repo_conventions:deployment_docker],Code Analysis + RAG Queries,repo,resource,,,,,,,,,,X,X,X,Select;Deploy,Presence became a cheap Discovery-tier signal through repo_conventions' deployment_docker check; a content read of Dockerfiles and deployment docs remains a RAG-tier gap.,
"What does this resource cost to run, host or license?",Analysis/Enrichment,Cost is part of the decision process.,Human-supplied/derived — not resource-derivable.,N/A — human-supplied via Enrichment Context form = may also be Agent over RAG content.,Human-Supplied,*,resource,X,,,,,,,,,,,X,Select;Deploy,"2026-09-12: stage widened to Analysis/Enrichment — the answer is human-supplied via Enrichment (says so in Answering Analysis), but exact phase matching kept the row off the Enrichment pane, under a heading that promised the catalog's questions for a person. | 2026-09-21: reworded from repo-only to cross-type wording (multi-resource-questions-design.md §4) as part of the re/db-questions-csv authoring stream.",
Is there a validation / deployment test for it?,Analysis,How do we know if it is working properly once deployed?,Covers whether CI runs tests and whether deployment evidence exists; a real deployment validation test is not detected.,"MIXED: ci_quality (CI actually runs tests) + repo_conventions (deployment_docker evidence); GAP: real deployment-validation test - May be RAG queries? ci_quality/repo_conventions give structured signals; an Agent examining the repo's actual file/directory structure (test dirs, validation scripts) can find hints beyond those fixed checks. [checks: ci_quality:ci_runs_tests, repo_conventions:deployment_docker]",Code Analysis + Agent-Based Analysis,repo,resource,,,,,,,,,,X,,X,Assess;Deploy,ci_quality replaced a CI-config-presence check with one that reads whether workflows run tests; repo_conventions' deployment_docker added the deployment-evidence signal.,
What is the upgrade process?,Analysis,Is it deployable and maintainable? Are upgrades disruptive?,"Needs content read (CHANGELOG, release notes) — RAG-tier, real gap.",GAP: RAG content read (CHANGELOG/release notes) — no structured surveyor,RAG Queries,repo,resource,,,,,X,,,,X,,X,X,Maintain;Deploy,,
Does it fit into our monitoring infrastructure?,Analysis/Enrichment,"Cost, Skills and manageability.",Org-internal cross-reference — human-supplied.,N/A — human-supplied via Enrichment Context form - We may be able to use targeted Egeria queries first - augmented with enrichment.,Egeria Queries + Human-Supplied,*,resource,,,,X,X,,,,,,X,X,Deploy;Maintain,,
Does it fit into our security infrastructure?,Analysis/Enrichment,Will it be allowed in? What are the risks?,"An organisation-internal cross-reference: the security findings inform it, a person answers it.","N/A — human-supplied via Enrichment Context form, informed by security_scan findings and Egeria queries.",Code Analysis + Egeria Queries + Human-Supplied,*,resource,X,,,X,X,X,,,,X,X,X,Assess;Deploy,,
Is there any reliability or availability aspects?,Analysis,Is it production ready?,"Trend/uptime signal, if available — Understanding-tier chart, or Analysis if content-derived (SLA docs).","N/A — Understanding trend chart (stats.py, project_stats history); GAP if SLA-doc content read is needed instead. May require RAG search.",Trend Chart,repo,resource,,,,,,,,,,X,X,X,Select;Maintain,,
What kinds of integrations does it support?,Analysis,Can we connect it to our ecosystem?,Covers which interfaces exist and whether they are documented. Which named third-party systems it integrates with is not read.,"PARTIAL: interface_surface (what can be talked to, and whether the contract is written down — from the file inventory and declared dependencies); GAP remains for the prose read of integration guides",Code Analysis + RAG Queries,repo,resource,,,,,X,,,,X,X,X,X,Select;Deploy,interface_surface answers the structural half; the content read for named systems has no surveyor.,
Does this fit within or need to extend our existing infrastructure estate?,Analysis/Enrichment,Impact on existing architecture and operations.,Org-internal cross-reference — human-supplied.,N/A — human-supplied via Enrichment Context form with as fallback from Egeria queries.,Human-Supplied + Egeria Queries,repo,resource,,,,,X,,,,,X,X,X,Select;Deploy,,
How mature is it?,Assessment,Stability vs innovation trade-off.,"Direct lifecycle-stage classification (nascent/emerging/established/mature) from repo_created_at, CHAOSS-informed (the maturity analysis) — a more direct answer than the age/release-cadence trend chart alone, which remains a secondary Understanding-tier view of the same underlying signal.","MIXED: maturity (direct classification) + Understanding trend chart (stats.py, project_stats history) [checks: maturity:project_maturity]",Code Analysis,repo,resource,,,,,,,,X,X,,X,X,Select;Assess,,
Do we have the skills to support its use?,Analysis/Enrichment,Operational readiness and skill gaps.,Purely human-supplied — never resource-derivable.,N/A — human-supplied via Enrichment Context form - Egeria queries as well,Human-Supplied + Egeria Queries,*,resource,,,,,,,,,,X,X,X,Select;Learn,,
How well documented is it?,Analysis,Ease of adoption and maintenance.,"Covers root README, CHANGELOG and CONTRIBUTING presence with a quality label, plus whole-tree density — README count, a docs folder, .md/.txt count.","MIXED: documentation_coverage + repo_conventions (doc_breadth) perhaps also an Agent? documentation_coverage/repo_conventions give structured presence signals; an Agent reviewing the whole set (READMEs in every folder, a separate docs directory, tutorials, etc.) can judge documentation quality more holistically than presence-checks alone. [checks: repo_conventions:doc_breadth]",Code Analysis + Agent-Based Analysis,repo,resource,,,,,X,,,X,X,,X,X,Select;Learn;Share,documentation_coverage checks the root; repo_conventions' doc_breadth added the tree-wide density signal the root-only check missed.,
How is it supported?,Analysis,Enterprise fallback and support options.,"Combines community responsiveness, documentation quality and any formal support documents.",MIXED: repository_health (community responsiveness) + documentation_coverage + sla_content (published support commitments),Git Statistics + Code Analysis,repo,resource,X,,,,X,,,,X,,X,X,Select;Maintain,"Mixed across tiers: responsiveness from Scouting, documentation from Assessment, support docs from Analysis/RAG.",
"Is there a current, published, security analysis?",Analysis,Third-party audit and security posture.,"Not answered — a published third-party audit is a different artifact from these checks, and nothing detects one.","MIXED: cii_badge (the real OpenSSF Best Practices badge, read from bestpractices.dev) + foss_scorecard (OpenSSF-Scorecard-shaped checks computed locally, NOT the upstream tool's own run) + chaoss_metrics; security_scan + security_features + repo_conventions for hygiene signals",External Service Query + Code Analysis,repo,resource,,X,,,,,,,,X,X,X,Assess;Certify,"The GAP note named OpenSSF Scorecard and CHAOSS as candidate tooling; both landed 2026-08-26 as foss_scorecard and chaoss_metrics, and cii_badge reads the published badge. The question stays MIXED rather than answered.",
Does it fit into our governance frameworks?,Analysis/Enrichment,Compliance and regulatory alignment.,"Org policy cross-reference (human-supplied), plus Curate's zone/catalog membership once published.","N/A — human-supplied via Enrichment Context form, plus Curate zone/catalog membership (egeria_publish), plus Egeria queries.",Human-Supplied + Egeria Queries,*,resource,,X,,,,,,,,X,X,X,Certify;Share,,
"What explicit licence does this resource use, and are there non-standard or copyleft terms?",Assessment,"Identifies strict copyleft (GPL/AGPL), source-available shifts (BSL/SSPL), or dual-licensing risks before code integration.","GitHub API license field gives the SPDX id cheaply (Scouting); license_classification (Assessment) categorizes it into a risk tier (permissive/weak copyleft/strong copyleft/source-available/unknown) — candidate reference tools for deeper provenance: FOSSology (Linux Foundation compliance workspace), LicenseFinder, ClearlyDefined (crowdsourced licensing/provenance data), Mend, Black Duck. SPDX (ISO/IEC 5962) is the standard schema this conforms to.",license_classification [checks: license_classification:license_risk_tier],Code Analysis,*,resource,X,,,X,,X,,,,X,,,Select;Certify,2026-09-21: reworded from repo-only to cross-type wording (multi-resource-questions-design.md §4) as part of the re/db-questions-csv authoring stream.,
Is intellectual property (IP) provenance managed via CLA or DCO?,Analysis,Protects the organization from copyright infringement claims from unauthorized third-party contributions.,"Reports which mechanism is in use — DCO sign-off in commit trailers, a CLA bot configuration, or a CONTRIBUTING.md statement — rather than a yes/no.",contribution_provenance,Code Analysis,repo,resource,X,X,X,X,,,,,,X,,,Select;Certify,contribution_provenance shipped 2026-09-01; the row was marked GAP until 2026-09-02.,
"Does the software contain telemetry, phone-home mechanisms, or external metrics tracking?",Analysis,"Prevents unauthorized leakage of internal network metadata, system details, or usage patterns.","Matches known telemetry and analytics SDK imports and endpoints in source, and separately checks whether each match is disclosed in the repo's own docs. An undisclosed match is the finding, not the presence of telemetry.",telemetry_scan,Code Analysis,repo,resource,,,,,,,X,,,X,X,X,Assess;Certify,telemetry_scan shipped 2026-09-01; the row was marked GAP until 2026-09-02.,
"For AI/ML assets, what licensing or usage constraints apply to models, weights, or datasets?",Analysis,"Open-source software licenses (e.g., Apache 2.0) often differ from model weights (e.g., OpenRAIL, Llama) or training data constraints.","Needs model-card/dataset-file detection — real gap, AI Governance tooling category.",GAP: model-card/dataset-file detection (AI Governance tooling category),Gap,repo,resource,,X,,,,X,X,,X,,,,Select;Certify,,
"How does the repository handle secrets, credentials, and sensitive configurations?",Analysis,Prevents hardcoded secrets or unencrypted credential passing in containerized and automated deployment environments.,"Runs a vendored gitleaks ruleset over the HEAD snapshot of tracked files, naming the ruleset and commit. Never claims 'no secrets' — only 'no matches against this ruleset, in this snapshot' — and says nothing about git history, where a removed secret still lives.",secret_scan,Code Analysis,repo,resource,,,,,,,,,,X,X,X,Assess;Certify,secret_scan shipped 2026-09-01; the row was marked GAP until 2026-09-02.,
Does the repository publish a clear process for reporting security vulnerabilities?,Analysis,Knowing how to responsibly disclose a finding — and whether maintainers take security seriously — matters before we rely on this.,"Reads SECURITY.md's content for an actual disclosure process, not just the file's presence — which is reported separately.",repo_conventions + security_scan [checks: repo_conventions:security_policy_content],Code Analysis,repo,resource,,X,,,,,,,,X,,,Certify,"The row once read 'repo_conventions - RAG read?', which the generator could not parse into a kind, so the question was unanswerable despite being correctly wired.",
Does the repository have automated build tooling in place?,Analysis,Independent of CI wiring — a Makefile/build.gradle/pyproject build-system table means it can be built locally even if CI is absent or broken.,"Covers whether build tooling configuration is present and whether CI actually runs, tests and gates.",repo_conventions + ci_quality [checks: repo_conventions:automated_build],Code Analysis,repo,resource,,,,,,X,,,,,X,,Certify;Deploy,Same parser problem as the vulnerability-reporting row: a trailing '- RAG read?' left the kind unknown and the question unanswerable.,
Is this repository already self-described for an enterprise catalog (e.g. Backstage catalog-info.yaml)?,Assessment,"A strong, cheap signal that this repo is already integrated into some enterprise inventory, independent of which catalog it names.",repo_conventions detects catalog-info.yaml and equivalent self-description files. Same parser problem — the row was wired correctly and phrased in a way the generator read as unknown.,repo_conventions [checks: repo_conventions:catalog_info],Code Analysis,repo,resource,,X,X,,,,,,,,X,,Share,,
"Has this resource already been surveyed at any tier, and what did earlier signals reveal?",Discovery,Avoid re-deriving what's already known; ground the decision in prior signal instead of starting cold.,"Direct field — last_surveyed_at, is_published (egeria_asset_guid), and any locally-cached findings/metrics history already surfaced by the resource's own analysis cards.",N/A — direct field (last_surveyed_at/egeria_asset_guid; scoped analysis-history queries),Direct Field,*,resource,,,X,,,,,,X,,X,,Explore;Maintain,,
Which Survey Definition should I run — a quick coarse check or the full deep survey?,Discovery,"Running the wrong tier wastes time (full survey when a coarse check would do) or leaves real gaps (coarse-only when depth was actually needed) — the choice should be informed, not default.",Survey Definitions carry their own step lists/descriptions and survey_kind tag; the Discovery candidates list surfaces exactly this per-step breakdown before committing to run one.,"N/A — direct field (Survey Definition candidates list, step/survey_kind detail)",Direct Field,*,resource,,,X,,,,,,X,,X,X,Explore,,
"Based on what's already known, is this worth investigating further, or should it be deprioritized?",Discovery,"Discovery-tier signal (license risk, maturity, conventions) is exactly the point a go/no-go call should get made and recorded, not lost.","Disposition control (Track/Investigate/Recommend/Abandon/Ignore) plus history — the same repo_dispositions state Scouting already exposes, now reachable directly from Discovery too.",N/A — direct field (repo_dispositions) - there is some heuristic we might need to compute to recommend a disposition,Direct Field,*,resource,,X,X,X,,,,,,,,,Explore;Select,,
How much has changed since the last time this was surveyed — is it worth re-running now?,Discovery,Re-surveying on a blind schedule wastes cycles; knowing whether anything material actually changed first is the real Discovery-tier judgment.,"notification_detector.py's latest-two-runs comparison, surfaced via an Automate subscription once a schedule exists for the analysis — real today, but only reachable once that subscription is set up.",N/A — Automate subscription (notification_detector's change comparison),Automate Change Detection,*,resource,,,X,,,,,,X,,,,Maintain,"2026-09-21: stage moved Automate -> Discovery (design §2.1 -- automation is a property of any survey, not a funnel stage) as part of the re/db-questions-csv authoring stream.",
"Is there a Survey Definition authored for this resource's technology type at all, or is that a catalog gap?",Discovery,"A resource type with no Survey Definition authored yet is itself a real, actionable finding — a catalog gap someone should close — not a silent empty list.",Direct field — the candidates list itself; an empty result for a technology type with real registered resources is the signal.,"N/A — direct field (Survey Definition candidates list, empty-result case)",Direct Field,*,resource,,X,,,,,,,,,,X,Explore;Share,,
"What kind of thing is this repository — a library, an application, a tool, or samples?",Discovery,"The same signal means different things depending on what the repo is; a tutorial with no tests is fine, a library with none is not.","repo_classification exists and nothing asked for it. It also decides whether architecture recovery is worth running, so it gates later tiers.",repo_classification,Code Analysis,repo,resource,,,,,X,,,,X,,X,,Explore;Select,,
"What components exist in this repository, and what kind is each?",Discovery,"I need to know what I would be taking on before committing to it, and whether its own documentation matches what the code actually does.","architecture_recovery, architecture_summary and architecture_doc_lens all exist; no question referenced any of them. The doc lens specifically compares documented architecture against recovered architecture.",architecture_recovery + architecture_summary + architecture_doc_lens,Code Analysis,repo,resource,,,,,,X,,,X,,X,,Explore;Learn;Select,,
How do its components relate to each other?,Discovery,"I need to know what I would be taking on before committing to it, and whether its own documentation matches what the code actually does.","Split from the combined 'internal architecture' question 2026-09-08 (Dan: is a separate question worth splitting out; chat-facts rendering cannot flatten a component graph into bullet text at any real scale, so this half needs its own answer, not a share of the other one's). architecture_diagram is the Mermaid diagram + caption rendered from architecture_recovery/architecture_summary at survey time -- previously computed and persisted, never read back by anything.",architecture_diagram,Code Analysis,repo,resource,,,,,,X,,,X,,X,,Explore;Learn;Select,,
What languages and file types make up this repository?,Scouting,Language mix is the cheapest signal of whether this is something we can maintain in-house.,"Counts files by language and type from the file inventory, and lines of code, comments and docstrings across the source files; no fetch beyond the inventory Scouting already holds.",language_file_classification,Code Analysis,repo,resource,,,,,X,,,,X,,X,,Explore;Select,language_file_classification is one of the oldest analyses here and no question referenced it until this row was added.,inadequately answered today
"What data files does it ship, and what shape are they?",Analysis,Bundled data can carry licensing and privacy obligations that the repo's own licence does not cover.,An inventory and shape profile of the data files shipped in the repository.,data_file_profiling,Code Analysis,repo,resource,,,,X,,,X,,X,,,,Explore;Assess,data_file_profiling existed before any question referenced it.,
What APIs and code symbols does it expose to callers?,Analysis,"The published surface is what we would actually be coupling to, and what breaks on upgrade.",Covers the extracted code symbols and the interfaces implied by dependencies; a published contract is detected only where a specification file exists.,api_structure + interface_surface,Code Analysis,repo,resource,,,,,X,X,,,X,,X,,Select;Deploy;Learn,api_structure and interface_surface both existed before any question referenced them.,
How does it score against OpenSSF Scorecard-style criteria?,Assessment,"A named, comparable rubric is what lets me weigh several candidates against each other rather than judging each on its own terms.","foss_scorecard computes Scorecard-shaped checks from data already collected — it is NOT the upstream OpenSSF tool's own run, and a check it cannot evaluate is reported as not-established rather than as a failure.",foss_scorecard,Code Analysis,repo,resource,,X,X,,,,,,,X,,,Assess;Certify;Select,,
"Does it hold an OpenSSF Best Practices (CII) badge, and how current is the self-assessment behind it?",Assessment,A badge is a public claim by the project about itself; its age tells me how much the claim is still worth.,"cii_badge reads the real badge from bestpractices.dev rather than estimating one, and reports level together with the age of the self-assessment. No question referenced it.",cii_badge,External Service Query,repo,resource,,X,X,,,,,X,,X,,,Assess;Certify;Attest,,
How concentrated is authorship — would the project survive losing its top contributors?,Assessment,A healthy commit rate produced by one person is a different risk from the same rate produced by twenty.,"chaoss_metrics reports the elephant factor and related CHAOSS metrics on their own terms, never averaged into a score. No question referenced it.",chaoss_metrics,Git Statistics,repo,resource,,X,X,,,,,X,,,,,Assess;Maintain,,
How much code is there? How complex?,Assessment,Gives an estimate on cost to maintain.,"Both halves are answerable as of 2026-09-02. SIZE: language_file_classification carries a per-language line census — code, comment, docstring and blank — written at ingestion and at Coarse Profile refresh (pipeline.py::_record_line_census). Markdown, JSON, HTML, CSS, SQL and XML are counted as text and excluded from the code total by construction; project_stats.ingestion_lines_of_code, which counted every newline in every text file and reported 1,118,195 against ~156k real code lines on egeria-python, is retired and must not be cited. COMPLEXITY: api_structure carries the per-language max/mean it always computed, python and java only — go and javascript store 0 for every symbol because their extractors never compute it, so they are excluded and named rather than averaged in (0.32 vs 2.69 on milvus). A repo with no census reports no line counts rather than zero: not counted is not the same as no code.",language_file_classification + api_structure,Code Analysis,repo,resource,,,,,,x,,,,x,x,x,Assess;Maintain,,
What are the public interfaces?,Discovery,How do we use this - does it look like it does what we want?,"interface_surface detects which interface styles a repo exposes (http_api, grpc, graphql, messaging, soap, cli) and whether a contract is actually published, versus merely implied by a dependency. Discovery altitude: 'is there a published contract' rather than 'what symbols exist', which is the Analysis-stage question 'What APIs and code symbols does it expose to callers?' (api_structure + interface_surface).",interface_surface,Code Analysis,repo,resource,,,,,,x,x,,,x,x,x,Assess;Deploy;Explore;Learn,,"implemented for http_api/grpc/graphql/messaging requires repo_symbol_extraction to have run (it writes project_code_markers); where it has not, or where the repo's languages are outside marker coverage, the rung reports could_not_check with the reason rather than guessing implied."
"Can Egeria's survey engine reach this resource, or must Resource Explorer survey it locally — and which is cheaper?",Discovery,"Whether a survey can run at all, and where it runs, decides the cost and the provenance of every answer that follows.","Reachability is testable by running the native survey with finalAnalysisStep=CHECK_ASSET from the engine host; efficiency is a separate axis (data locality, latency to first result, load on the source, concurrency, provenance) — see multi-resource-questions-design.md §3 rule B. An unreachable resource falls back to a Resource Explorer local mirror published under the native annotation shapes, plus an RFA recording that Egeria could not reach it.",GAP: no reachability probe exists — this needs a CHECK_ASSET-only engine action plus the observed-cost comparison step_cost_observer already collects.,Egeria Queries + Direct Field,*,resource,X,,,,,,,,,,X,X,Explore;Maintain,,
"Where is this resource physically located, under which jurisdiction, and are there residency or transfer constraints?",Discovery,"Data sovereignty decides whether we may hold or process this at all, independently of what the licence permits.","Two halves. The machine half reads host and region from the connection endpoint, cloud instance metadata, or the mount and file path. The human half — legal controller, residency rule — comes through Enrichment. The result is published as a proposed Egeria DataScope classification carrying scopeElements {jurisdiction, region, controller}.",GAP: nothing populates DataScope from a survey today; endpoint geolocation and the Enrichment section are both unbuilt.,Direct Field + Egeria Queries + Human-Supplied,*,resource,,X,,X,,,X,,,X,,,Assess;Certify;Attest,,
"What is the scope of the data in time — collection period, validity and coverage?",Analysis,A consumer needs to know which period the data actually covers before trusting any answer drawn from it.,"The other half of DataScope, and machine-proposable for most types: minimum and maximum of date columns for a database, modification-time range and in-file date ranges for a filesystem, DCAT temporal for a published dataset. Human confirmation of validity and coverage comes through Enrichment.","GAP: date-range extraction feeds no DataScope proposal today, and the column-level profiling that would supply the ranges is itself unbuilt.",Value Profiling + Human-Supplied,database;filesystem;dataset,member,,X,X,,,,,,X,,,,Assess;Certify,,
"Are there any restrictions for use beyond the licence — classification, zone or terms of use?",Analysis,"A permissive licence does not mean an internal classification, a governance zone or a contractual term allows the use I have in mind.","Separated from the licence question itself when that one became cross-type and moved to Scouting. Reads Egeria governance zones and classifications, the resource's own terms-of-use text, and Enrichment for anything contractual that is not written down machine-readably.","GAP: zone and classification restrictions are not read back into the question layer, and agent interpretation of non-standard terms is unbuilt.",Egeria Queries + Agent-Based Analysis,*,resource,,X,,,X,,X,,,X,,,Select;Certify,,
"Is this resource ready to be offered as a data product — owner, description, licence or agreement, schema, freshness, contact and scope?",Assessment,"The supply half of a data product: one with no accountable owner, no licence and no stated scope cannot responsibly be offered.","A composite over facts other questions already establish — Egeria Ownership, a description, License or DataSharingAgreement, a schema, freshness signals, a contact and a DataScope. Design §4 requires this and the demand question to hold together before a DigitalProduct is proposed.","GAP: no readiness composite exists, and several of its inputs (DataScope, agreement, freshness) are themselves gaps.",Egeria Queries + Human-Supplied,*,resource,,X,X,X,X,,,,,,,,Share;Certify,,
"Is there a defined need or market for this resource — subscriptions, requests, existing use, feedback or open requests for this kind of data?",Assessment,The demand half: building a data product nobody asked for costs more than it returns.,"Reads Egeria DigitalSubscription, Resource Explorer's own registry of existing use and feedback, similar-resource search hits, and open RFAs asking for this kind of data. Design §4 requires this and the readiness question to hold together before a DigitalProduct is proposed.","GAP: DigitalSubscription is not read, and RFAs are not searchable by the kind of data they ask for.",Egeria Queries + Local Registry Query,*,resource,X,X,,X,X,,,,,,,,Share;Select,,
"How big is this database — schemas, tables, views, columns, rows and bytes?",Scouting,"Size sets the cost of every later tier, and is the first thing that says whether this is a toy or a production estate.","Whole-database catalog reads only, no row data: information_schema and pg_catalog give the structural counts, and relation sizes plus row counts give the volume. Design §5.1 — extract everything the catalog already knows before reading a row.",MIXED: schema_inventory (structural counts) + row_count_snapshot (rows and bytes),Database Catalog Query,database,resource;container,X,,,,,,,,X,,,X,Explore;Select,,
"Which schemas carry the data, and which are system, empty or staging?",Scouting,Knowing which schemas matter stops every later analysis from paying to profile scratch and system objects.,"Derived from the same catalog read as the size question — object counts and sizes per schema, plus name conventions. Cheap, whole-database, no row data.",schema_inventory,Database Catalog Query,database,container,,,,,,,,,X,,X,,Explore,,
"Is this database alive — writes since the statistics were reset, last vacuum or analyse, and is anything reading it?",Scouting,"A database nobody writes to and nobody reads is a retirement candidate, not a survey candidate.","pg_stat_user_tables carries n_tup_ins/upd/del, n_live_tup, n_dead_tup, last_vacuum/autovacuum/analyze, seq_scan and idx_scan; pg_stat_database carries the transaction and block counters. All of it is a catalog read. Note the two absence modes design §5.1 calls out: a counter the engine does not support is not_established, and statistics that were never collected must render as ""run ANALYZE"", not as ""no activity"".","db_activity_signals (design §5.2, §5.7 — database-wide roll-up of pg_stat_user_tables tuple and scan counters; reuses postgres_schema_and_stats' per-table figures rather than re-querying them)",Database Catalog Query,database,resource;member,,,X,X,,,,,,,,X,Maintain;Assess,,
